text|favorited|favoriteCount|replyToSN|created|truncated|replyToSID|id|replyToUID|statusSource|screenName|retweetCount|isRetweet|retweeted|longitude|latitude
RT @Valeurs: Pour Jérôme Rivière, chef de file de la délégation du Rassemblement national au Parlement européen, le #coronavirus a mis en l…|FALSE|0|NA|2020-04-10 15:23:32|FALSE|NA|1248632715739529218|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|demons1985|15|TRUE|FALSE|NA|NA
RT @UFCquechoisir: #Coronavirus - #Prix des #tondeuses à #barbe et #cheveux : une poussée de + 21 % en l'espace de 3 semaines ! <U+0001F449>https://t.…|FALSE|0|NA|2020-04-10 15:23:32|FALSE|NA|1248632713877368837|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|Abrazo44|23|TRUE|FALSE|NA|NA
RT @AllPourLaFrance: Il n'y a rien qui vous gêne là ? Elle est où l'exemplarité ? #confinement #coronaVirus #COVID19 #RestezChezVous https…|FALSE|0|NA|2020-04-10 15:23:31|FALSE|NA|1248632710731530241|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|loumarti73|71|TRUE|FALSE|NA|NA
<U+0001F6A8> BREAKING ! LFP a voté, à l'unanimité, une date de reprise des Championnats professionnels : • Samedi 22 août pou… https://t.co/eolmzFPGYW|FALSE|64|NA|2020-04-10 15:23:30|TRUE|NA|1248632706289852417|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|_BeFoot|30|FALSE|FALSE|NA|NA
#COVID19 « C’est pas parce qu’on est séparés physiquement qu’on ne peut pas être là les uns pour les autres » –Just… https://t.co/WkjuS5lCjx|FALSE|4|NA|2020-04-10 15:23:29|TRUE|NA|1248632701671952388|NA|<a href="https://www.twitter.com/" rel="nofollow">Twitter Media Studio - LiveCut</a>|RadioCanadaInfo|1|FALSE|FALSE|NA|NA
J’adore ! #masque #gants #coronavirus #louvres https://t.co/Z6V8hrWmJG|FALSE|2|NA|2020-04-10 15:23:28|FALSE|NA|1248632699708989441|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|ArnauddMercier|0|FALSE|FALSE|NA|NA
RT @kohmichel: Le traitement du corona que prescrit l'hôpital de Limbé #Cameroun  #Covid19Cmr  #coronavirus https://t.co/yifd2ENzGF|FALSE|0|NA|2020-04-10 15:23:28|FALSE|NA|1248632698991771654|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|Gilles_Tounsi|0|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EB><U+0001F1F7> Lutte contre le #coronavirus : Selon une étude menée par l'institut #Odoxa, 62% des français se déclarent prêts à téléc…|FALSE|0|NA|2020-04-10 15:23:28|FALSE|NA|1248632696974213121|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|iconic__a|48|TRUE|FALSE|NA|NA
RT @qmike5491: #COVID<U+30FC>19 Le professeur #Raoult concentre la HAINEde ceux qui entrevoient dans le #coronavirus une formidable OCCASION de f…|FALSE|0|NA|2020-04-10 15:23:27|FALSE|NA|1248632695648858112|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|jmsavelli|12|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EB><U+0001F1F7> Pandémie de #coronavirus : Le président de la région #GrandEst Jean #Rottner estime, que les Agences régionales de sant…|FALSE|0|NA|2020-04-10 15:23:27|FALSE|NA|1248632694944268289|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|me_totor|141|TRUE|FALSE|NA|NA
